file,pdf_pages,key_pages,report,verdict,notes,sha256
ES9039Q2M_ESS.pdf,109,1;10;11;12;13;14;16;17;19;50;51;52;53;54;55;56;57;58;60;95;96;97;98;99;100;103;104;105,converters.md,reviewed_design_conflicts_confirmed_external_core_mode_not_established,"v0.2.3, 109 physical PDF pages; actual text read and reference schematics pages96/100 visually rendered；32QFN withEPAD33; internalDVDD1.2V pin9, absolute maximum1.4V; AVDD3.3V pin10；No external1.2V core-supply conditions established; prohibition is definite for legacy1.8/3.3V overvoltage, not every hypothetical external regulator；MCLK<=50MHz; asynchronous192kHz needsatleast130Fs (~24.96MHz), so24.576MHz is insufficient for that mode；AVCC3.3V+/-15% table note refers toES9312 calibration; AVDD/VCCA3.3V+/-5%；Power sequencing AVDD->~200us->VCCA->AVCC->CHIP_EN; register access needsclock; I2C7bit0x48-4B",98352e53b5fc19b849c44e841f0624e888e207dc017a1274487bc213227b088a
ES9822PRO_ESS.pdf,144,1;8;9;10;11;44;45;46;47;48;52;53;54;55;56;58;59;60;61;62;124;125;129;130;131;133;134,converters.md,reviewed_design_conflicts_and_clock_text_inconsistencies,"v0.5.2, 144 physical PDF pages; actual text read, reference schematic page129 visually rendered；AVCC/AVCC_L/R4.5V, AVDD3.3V, internalDVDD1.2V withabsolute maximum1.4V; no external1.2V mode established；Functional clock descriptions22/22.579MHz conflict with20MHz switching minimum; use explicit22.5792/24.576/45.1584/49.152MHz configurations andphaseconstraints；Input commonmodeAVCC/2, fullscale3.2Vrms typical, inputimpedance430ohm+/-14%; negativeanalogabsolute limit-0.4V；NormalI2C7bit0x20-23 needsclock; synchronouswrite-only0x24-27 configuresclock viaregisters192-194 before normal access；DNR2ch min122/typ125dBA at-60dBFS; THD+N changes withsamplerate",dd7b92be2634186ec3839bbf9c7208be919ddd800ebfd75797c1c0a3db282a39
ESP32-S3-WROOM-1_ESPRESSIF.pdf,53,10;11;12;13;14;27;28;41;42;45,digital-protection.md,已审阅；条件及未闭合项见分报告,推荐3.0–3.6V；电源能力>=0.5A；N8R8的IO35–37被PSRAM占用。,27d71971da07c280c6068d08c74720d1a25b8f20cf8494dc1765bdd28d40d435
GM1205.pdf,20,1;4;7;8;9;13;14;15;17;20,power.md,已核验且官网同hash；有手册内部差异及替代边界待厂家澄清,Rev.C/20页与https://www.gongmosemi.com/upload/prod/2630/GM1205.pdf逐字节SHA256一致。VIN首页2.6–20V，完整精度条件从2.7V；VOUT1–15V/500mA。DFN10脚序与LT3045DD匹配，但ILIM278mA*kohm、EN1.07V、PGFB295mV、ESR50mohm不同。560ohm为496.4mA typ非保证500mA。PGFB迟滞表20mV/正文60mV；压差脚注100mA与表300mA不一致；500mA max压差有不保证脚注。已渲染pin/电气/封装表。,7f51388aa385fbd3f4edc9e1ea4a243422a473a8fcaa8c26fd34668385783d00
LM27762.pdf,30,1;3;4;5;10;12;13;14;15,power.md,已核验；5V输入不能保证受载稳压±5V，拓扑须重定,中文ZHCSFJ0C/30页，已对TI英文SNVSAF7C。工作VIN2.7–5.5V/250mA每路，300mA是绝对电流额定。正LDO45mV typ@100mA、负LDO30mV加电荷泵2.5ohm typ损耗。正1.2/负-1.22反馈、两下拉≥50kohm；五只电容，无NR；PGOOD开漏低有效。不把500mA短路保护值或±5V可调上限当满负载能力。,e2531cb2ef707b1e78bae7d875602746b4787f3aafe21eab54338a719644c92f
LT3045.pdf,32,1;2;3;4;12;13;16;17;18;20;29,power.md,已核验；本地Rev.B较旧，不能作为GM1205无条件替料,Rev.B/32页；原厂当前Rev.D的p20 PG电流项由+改-，p31记录C版修订。输入电气范围2–20V，首页1.8V不可作全保证下限。500mA dropout260typ/450全温max但DFN高电流max不保证。ILIM300ohm=450/500/550mA。输出≥10uF/ESR<20mohm/ESL<2nH；输入4.7uF。GM十脚信号匹配，但ILIM、EN/PG、反向额定、外围及封装公差需重审。,79a19c48f10093ebc869285b2d3ccd52766d63f4d2861f138b58e728080d2caf
NE5532_TI.pdf,23,1;2;3;4;5;6;9,analog.md,PDF内部冲突；按正式参数表保守约束并待勘误,TI ZHCSZB1K 2025-12；推荐±5~±15V；Abs表±18V但p9警告沿用±22V；电气表12MHz/5V/us而p6文字10MHz/9V/ms冲突；输入共模±12保证只在±15V；无±5V最坏摆幅完整保证；偏置/电流/NE和SA温区、脚号及去耦均已核。,9e7aa3da5ba5743b5c9421af5ddb737627daa9004c94ec86266bbb05b59e902b
OPA1611_OPA1612.pdf,34,3;4;5;6;13;14;19;20,analog.md,参数确认；替代和负载性能有条件,TI ZHCSDF7C 2014-08；推荐4.5~36V、Abs40V；输入共模距轨2V；输出摆幅按2k/10k负载分别留0.6/0.2V；1.1nV/sqrtHz@1kHz、3Vrms/G1/1kHz THD条件；短路55/-62mA非连续线性保证；单/双运放脚号不同，SON焊盘V-，每电源0.1uF。,0cf0542269cdc0cd967b33ab631c1e0ea544d7465792056b1f1869ee5830c004
OPA1656.pdf,43,3;4;5;6;7;8;17;18;19;27;28,analog.md,参数确认；旧偏置/电流表述需修正,TI ZHCSJH0C 2022-09；推荐4.5~36V、Abs40V；输入共模V-到V+-2.25；53MHz为G100 GBW、20MHz为G1带宽；2.9nV/sqrtHz@10kHz而1kHz4.3；100mA为单通道短路值；低偏置不意味着自动0V偏置；已核负载/带宽限定THD与热表。,8a58fe809304ac0d011e68a91d73c2a0f12397a8d68687826fd7f0c552bf81e9
PGA2500.pdf,23,1;2;3;4;5;7;8;9;11;12;13,analog.md,关键接口冲突已确认；电路实现有条件,TI SBOS289A 2003-12；已核工作VA+ 4.75~5.25V、VA-/VD- -5.25~-4.75V及差<300mV；无VD+；VIH2V可接3.3V控制但SDO/OVR/GPO为VA+域，需核降电平；0dB非静音；核600ohm差分输出、输入偏置、噪声测试条件、servo和10A浪涌保护。p3电源/逻辑表已原页图像复核。,e6f66a2607f1e19b98993ff35d0f7c2eff6d072452374fcea43615a30acec989
PRTR5V0U2X.pdf,7,1;2;3,digital-protection.md,已审阅；条件及未闭合项见分报告,UMW特定版本；5V stand-off不等于钳位，10V仅typ，单线对地0.65pF。,bc9267900c8624ab19752bd52a6b5b512f9ec404ff1fcb4a1c910f610ae18fa8
SGM2036.pdf,20,1;2;3;4;5;6;7;14;15;17,power.md,已核验；本地旧版缺容量边界，作为1.8V替代需热和外围重核,本地Rev.B.1/20页，官网B.2/21页p4补COUT有效0.5–10uF及CIN>=0.1uF。推荐VIN1.6–5.5V，绝对6V；1.8V/300mA dropout320typ/420max mV@25C；SOT23PD390mW/thetaJA285，5→1.8V不能按300mA持续。pin4是BP/FB，非TPS7A20DBV的NC；EN1.5V不同。带10nF BP噪声30uVrms空载/75uVrms@30mA，不是固定40uV。,feaa29d27bbbbc7164e49bdb9c3d55490b1c084c8b35571e7aefc007f7103dc2
SGM8262-2.pdf,14,1;2;3;4;5;9;11;12,analog.md,参数确认；310mA与单位增益用途有条件,SGMICRO 2023-03 Rev A.1；工作±2.25~±18V、Abs40V；共模距轨2V；310mA峰值AC需±12V/32ohm/100kHz/20Vpp，明确非连续DC；p5建议G>=2；3.5nV/sqrtHz在100kHz；TDFN焊盘V-；已核32ohm摆幅、每通道9mA典型及局部0.1uF/10~22uF。,1fd79bdd932ff1bbd1d00d18821afb0dd6b40579613ea1cfe3f7fe821cc41b2d
SY6280.pdf,6,1;2;3;5,power.md,已核验；初版与现版有参数差异，限流及OR-ing声明需修正,本地Rev.0.1 Preliminary/6页；原厂Rev1.0E/11页确认6.8kohm限流0.75/1/1.25A，反向阻断仅disabled明确保证。推荐2.4–5.5V，绝对6V；1OUT/2GND/3ISET/4EN/5IN。旧RON80mohm/IQ25uA与新版63/38不同；AAC有放电、AAAC无放电。10uF输入是强烈推荐，不能据此跳过USB浪涌核验。,64b2019999864afd8cb2f49c96c0a1ad0ad55c555a9d1998ec1f468de93ea832
SY8089.pdf,10,1;2;4;7;8,power.md,已核验；AAAC与A1AAC参数混用，12V PD分支不能直连,Rev.0.9A/10页覆盖SY8089AAC及SY8089AAAC；后者为A版hiccup。推荐2.7–5.5V/1MHz，绝对VIN6V；A1AAC才是原厂2.5V/1.5MHz不同型号。0.6V参考0.588–0.612，100k/200k→0.9V，150k/30k→3.6V标称正确但需容差预算。1EN/2GND/3LX/4IN/5FB，无PG。官网当前AAAC对应SY20149AAAC并NRND。已渲染表确认3.5A PFET限流在min列。,be137413d9493bb799c498ccd012cea440803d5302202cebe6d7cdcc0f7b7c5d
THAT1510-1512.pdf,8,1;2;3;4;5;6;7,analog.md,双型号参数确认；非PGA直接替代,THAT600031 Rev09 2017；推荐±5~±20V且Abs±20V不留越限余量；1510 Av=1+10k/RG，1512 Av=.5+5k/RG，公式已原页图像复核；1nV/sqrtHz需60dB；THD随型号/档位不同；Ref驱动<1ohm；幻象>=10ohm+低漏GP整流和1N4148，不用早期肖特基方案；CG按增益/低频条件选。,4e9105c30a9d9e958ee18a142b8a75eeef52e82092e0385a1070594affcfdd2b
THAT1570.pdf,12,1;2;3;7;8;9;10,analog.md,参数确认；低压共模与控制器配对有条件,THAT600132 Rev03 2015；推荐±5~±18V、Abs总40V；共模V-+4到V+-4，±5V只有±1V；输出共模-610mV；Av=1+(RA+RB)/RG且RA/RB>=2k；4.2MHz@40dB/600kHz@60dB；噪声THD负载条件、幻象限流和低漏GP二极管已核；纯模拟无SPI，焊盘仅V-或浮置铜。,b713e28ddcc5cb34530bd1055b1293af155e3ac8fbb2d258fa009296b8dff813
THAT1580.pdf,16,1;2;3;7;8;10;11;12;13,analog.md,参数确认；高动态指标与ADC接口有条件,THAT600187 Rev01 2016；推荐±5~±18V、Abs总40V；共模V-+3.7到V+-3.2，输出共模-640mV；Av=1+(RA+RB)/RG；2.7MHz@40dB/356kHz@60dB；EIN须分短路/150ohm及22k/A计权，不能拿首页数直接比较；62mA冷短路；QFN焊盘V-、130C/W为焊接测试板条件。,dd03ae8d4a1dd78091a14d0391d7073ddd99dbd3d2cdb2bf731a5ed24761b5c7
THAT5171.pdf,20,2;3;4;6;7;14;17;18;20,analog.md,参数确认；启动浪涌/伺服/地址需实现,THAT600133 Rev11 2019；模拟±4.75~±17V、数字3~3.6V；SPI10MHz/3.3V域，启动VDD短时可150mA且输入限20mA、串>=100ohm；增益5.6或13.6~68.6/1dB；Cservo=Cinput/5仅特定1.2k/1.2M条件；继电器需buffer、地址由GPO0~2复位采样；QFN32焊盘VEE，90C/W明确未焊。,b6f3b2035b66ad45e9eb800a3c6fd93a138e1bf60ac39cb42e2b3568a79907ab
THAT5173.pdf,20,1;2;3;4;5;6;7;8;9;10;16;17;19,analog.md,关键脚号表冲突；其余参数有条件确认,THAT600166 Rev05 2019；p2脚表CS7/SCLK8/DIN9/DOUT13，但p8 Table3错列16/17/18/19，原页图像复核；模拟±4.75~±17/数字3~3.6V；SPI10MHz事务间CS高>=25us；0~60dB/3dB；Cservo=Cinput/10非1/2；启动夹钳和限流、VEE热焊盘/45C/W条件已核；建库须厂商勘误交叉确认。,7215cba63a3f9ef81bb22bc66bd40b8920d53ca5d596f33bc624a8e52db83c40
THAT626x.pdf,20,1;2;3;4;5;7;14;15;17;18;19,analog.md,单电源与Abs表内部冲突；双电源应用有条件确认,THAT600190 Rev05 2018；覆盖6261/6263/6266；推荐双±3.9~±5.5、单7.8~11V，但Abs VA+-AGND6.5V与单电源+10V应用矛盾，原页图像确认，需厂家澄清；VAD3.8~5.25/VD3~3.6；-8~34dB及1/3/6步；EIN150ohm20kHz、输出负载/VCM已核；CG启动/级间耦合/CFB夹钳/20ohm幻象保护/复位重初始化不可省；QFN48焊盘VA-。,fdf06383191a5f0ac803b2cd9e400fe883c2879fc28d7bbc14c7adb5476dc243
TPA6120A2.pdf,32,1;3;4;5;9;10;11;12;13;15;16;17;18,analog.md,最低供电已确认；输出功率与热需电路验算,TI SLOS431B 2015-02；推荐±5~±15V或总10~30V、RL>=16ohm；Abs总9~33V和8ohm不可当推荐；±12V仅高压实例，p15有±5V例；Rf>=800ohm、不得反馈并电容、Ro10~100ohm；PowerPAD接地必焊；已核700mA典型/负载摆幅/SNR与热条件。p4额定表原页图像复核。,fa9ba15933c43c29e41cfc501e8769630996b775513f75bb8438632f5daae50f
TPD4E05U06.pdf,56,4;6;7,digital-protection.md,已审阅；条件及未闭合项见分报告,四通道DQA，工作0–5.5V，0.5pF typ；同册1/6通道区别已核。,5e0efc27442229a70c536b57cb9b2efb42d27e795749153f2dfc6982bfe76ee3
TPS7A20_TI.pdf,63,1;3;4;5;6;7;23;24;25,power.md,已核验；须补精确后缀、1.8V特定精度/压差和热预算,"ZHCSKY8H/63页，与英文SBVS338H对照。推荐VIN1.6–6V/300mA，绝对VIN6.5V且VOUT<=min(6.5,VIN+0.3)。1.8V精度DQN±30mV、DBV±40mV；300mA压差200/205mV max，不是3.3V档140mV。COUT有效0.47–200uF/ESR<=100mohm。无NR/SS/PG；P版本才主动放电。7uVrms条件VOUT2.8V/300mA。5→1.8V满300mA热耗0.96W未获预算保障。",80a9ed6e0dbf7b435754aade3252c1c40fd4389211545bef60be276d5d3130ef
W25Q16JV_Datasheet.pdf,75,58;59;60;61,digital-protection.md,已审阅；条件及未闭合项见分报告,3V Flash不能直连1.8V IO；电压频率/上电条件已核。,6d23cdf57fd63fc2c2de517707e293beaf70f3f47b424bf58510666294c04d82
XL6019.pdf,14,1;2;3;4;5;6;7;8,power.md,已核验；USB压降后的5→48V工作点缺推荐范围和占空余量保障,Rev1.5/14页。VIN5–40V推荐，绝对45V；SW绝对60V；DMAX90%typ，5A是开关限流typ。1GND/2EN/3SW/4VIN/5FB且tab=SW。124k上/3.3k下标称48.2197V；参考与阻容端点外推45.89–50.62V非5→48V保证。47uH/5A、220uF为示例，不能当所有负载硬性下限。EN RC是延迟而非输出斜率保证，关断仍存在Boost输入到输出通路。,a08dcab1375258c6d71acfd8adcf22ba2a3c5b671271b62015c574c349777b72
XU208-128-QF48.pdf,76,25;26;27,digital-protection.md,已审阅；条件及未闭合项见分报告,备选核心1.0V/IO3.3V；非XU316直接替换。,bbdc21f7413fcadc6ba19127b9c7b8c14b829b5e9961a5c36bfed617ee6fcf99
XU316-1024-QF60A.pdf,83,6;7;9;14;19;25;27;28;31;32;33;34,digital-protection.md,已审阅；条件及未闭合项见分报告,核心0.9V和1.8V IO已核；底部61–64为VDD；0.85V挂起和strap未获依据；旧版preliminary条件保留。,b36c0a754bc8d9d203037241367f36772d441f6f44208c4ab6222705ba1f966b
