Spec_ID,Group,Use,Value,Tolerance,Technology,Voltage_Rating,Power_Rating,TCR,Package_Target,Design_Status,Critical_Constraints,Source,Assembly_Option,Refdes,Quantity,Manufacturer,MPN,LCSC,PCB_Footprint,Part_Status
R24,精密及音频电阻,DAC差转单反馈网络,2.2k,绝对0.1%；比例匹配目标<=0.01%,优先匹配薄膜网络,>=50V,>=0.1W/元件,<=25ppm/°C；比例温漂另核,网络封装待定；离散候选0603,待计算,旧阻值不含DAC源阻/负载，需重算；单颗0.1%不保证比例0.01%；同批不代替匹配保证,datasheet-audit/converters.md §6；匹配为项目目标,拟装,,,,,C2989139,,未匹配
R25,精密及音频电阻,TPA6120A2 Rf/Ri候选,1k,0.1%建议,薄膜,>=50V,>=0.1W,<=25ppm/°C,0603（1608公制）,条件候选,Rf=1k有手册依据且不得低于800R建议；G=1+Rf/Ri；反馈不并C；实际增益/稳定性验证,datasheet-audit/analog.md §4,拟装,,,,,,,未匹配
R26,精密及音频电阻,耳机输出隔离,10R,1%,低电感厚膜/薄膜,>=50V,先筛>=0.5W，最终按电流,<=100ppm/°C,2010/2512起选；不先锁定,条件候选,P=Irms^2*R；0.2Arms时0.4W，0.5W可能无热裕量；需加大至1W级或更高；需计负载分压,datasheet-audit/analog.md §4,拟装,,,,,,,未匹配
R27,精密及音频电阻,Hi-Z对地偏置/输入终端候选,1M,1%,薄膜优先,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,待计算,先冻结输入/保护/DC回路；不是将1M串联就得到1M输入阻抗,datasheet-audit/analog.md §3,拟装,,,,,,,未匹配
R28,精密及音频电阻,48V侧泄放候选,100k,1%,厚膜/薄膜,>=100V,>=0.125W,<=100ppm/°C,0805起选,条件候选,仅用于已确定的泄放网络；52V时约27mW；RC放电时间与负载待核,项目工程建议,拟装,,,,,,,未匹配
R30,未定电源电阻,GM ILIM,TBD,0.1%建议,薄膜,>=50V,>=0.1W,<=25ppm/°C,603,待计算,600R/560R分别约463/496mA typ；未获得限流标度容差，勿先采购,datasheet-audit/power.md,拟装,,,,,,,未匹配
R31,未定电源电阻,PGFB/UVLO阈值分压,TBD,0.1%建议,薄膜,随被检测电压,>=0.1W,<=25ppm/°C,0603/0805待定,待计算,上拉回接收端电源；GM与LT阈值不同；所需时序未定,datasheet-audit/power.md,拟装,,,,,,,未匹配
R32,未定电源电阻,LM27762正负反馈,TBD,0.1%建议,薄膜,>=50V,>=0.1W,<=25ppm/°C,603,待计算,下臂建议从51.1k/0.1%起，最小实值>=50k；正1.2V/负1.22V参考不同；模拟电源未定,datasheet-audit/power.md,拟装,,,,,,,未匹配
R33,未定电源电阻,XL6019上反馈旧候选,124k,0.1%建议,薄膜,>=100V,>=0.125W,<=25ppm/°C,0805/1206,待计算,配3.3k下臂名义48.22V；仍不能解决USB输入/占空限制,datasheet-audit/power.md,拟装,,,,,,,未匹配
R34,未定电源电阻,XL6019下反馈旧候选,3.3k,0.1%建议,薄膜,>=50V,>=0.1W,<=25ppm/°C,603,待计算,仅XL原拓扑候选；先解决电源路线,datasheet-audit/power.md,拟装,,,,,,,未匹配
C01,陶瓷电容,普通芯片电源去耦,100nF,±10%优先；bulk可±20%,X7R优先；bulk可核准X5R,>=25V,,,0603；局部可0402,可先落图,XU核心至少8颗就近100nF；不覆盖专门要求1uF钽的节点；额定耐压/封装是工程筛选建议，不保证有效C,datasheet-audit/power.md与数字/模拟/转换器分报告,拟装,,,,,,,未匹配
C02,陶瓷电容,一般局部去耦/PGA伺服/LM飞跨候选,1uF,±10%优先；bulk可±20%,X7R优先；bulk可核准X5R,>=16V,,,0805起选,条件候选,各位置按下方逐芯片约束；LM飞跨为非极化，PGA伺服容量影响恢复；额定耐压/封装是工程筛选建议，不保证有效C,datasheet-audit/power.md与数字/模拟/转换器分报告,拟装,,,,,,,未匹配
C03,陶瓷电容,TPS/AP输入输出去耦候选,2.2uF,±10%优先；bulk可±20%,X7R优先；bulk可核准X5R,>=16V,,,0805起选,条件候选,有效容量按具体LDO要求；总输出电容及ESR不得超范围；额定耐压/封装是工程筛选建议，不保证有效C,datasheet-audit/power.md与数字/模拟/转换器分报告,拟装,,,,,,,未匹配
C04,陶瓷电容,AP输出/ADC VREF/LM输出候选,4.7uF,±10%优先；bulk可±20%,X7R优先；bulk可核准X5R,>=16V,,,0805/1206起选,条件候选,原厂标准参考容量及稳压器专属去耦需逐脚核对；额定耐压/封装是工程筛选建议，不保证有效C,datasheet-audit/power.md与数字/模拟/转换器分报告,拟装,,,,,,,未匹配
C05,陶瓷电容,局部bulk/GM输入/USB桥去耦候选,10uF,±10%优先；bulk可±20%,X7R优先；bulk可核准X5R,>=16V,,,1206起选,条件候选,负载、电源稳定性及实际DC bias下有效值逐位置核对；额定耐压/封装是工程筛选建议，不保证有效C,datasheet-audit/power.md与数字/模拟/转换器分报告,拟装,,,,,,,未匹配
C06,陶瓷电容,Buck输入输出/GM输出候选,22uF,±10%优先；bulk可±20%,X7R优先；bulk可核准X5R,>=16V,,,1206/1210起选,条件候选,可并联候选但不是盲目加大；需DC bias曲线、ESR/ESL和环路验证；额定耐压/封装是工程筛选建议，不保证有效C,datasheet-audit/power.md与数字/模拟/转换器分报告,拟装,,,,,,,未匹配
C10,信号及专用电容,Buck反馈前馈预留,22pF,±5%；匹配滤波可筛±2%,C0G/NP0,>=50V,,,0603起选,条件候选,仅所选控制器/输出工作点通过稳定性验证才装；不得误并TPA反馈,模拟/转换器审计；具体滤波拓扑未冻结,DNP默认,,,,,,,未匹配
C11,信号及专用电容,RF滤波候选,100pF,±5%；匹配滤波可筛±2%,C0G/NP0,>=50V,,,0603起选,待计算,输入阻抗/寄生和带宽决定；高阻节点不能机械加大,模拟/转换器审计；具体滤波拓扑未冻结,候选,,,,,,,未匹配
C12,信号及专用电容,低压RF滤波候选,220pF,±5%；匹配滤波可筛±2%,C0G/NP0,>=50V,,,0603起选,待计算,只用于受保护低压节点；48V侧用C16,模拟/转换器审计；具体滤波拓扑未冻结,候选,,,,,,,未匹配
C13,信号及专用电容,DAC电压反馈运放滤波候选,330pF,±5%；匹配滤波可筛±2%,C0G/NP0,>=50V,,,0603起选,待计算,原2.2k/330pF只是待重算参考；禁止移植到TPA CFA反馈,模拟/转换器审计；具体滤波拓扑未冻结,候选,,,,,,,未匹配
C14,信号及专用电容,模拟输入RC滤波候选,470pF,±5%；匹配滤波可筛±2%,C0G/NP0,>=50V,,,0603起选,待计算,与源阻、实际带宽和容性负载稳定性一起核,模拟/转换器审计；具体滤波拓扑未冻结,候选,,,,,,,未匹配
C15,信号及专用电容,DAC输出滤波候选,2.2nF,±5%；匹配滤波可筛±2%,C0G/NP0,>=50V,,,0603起选,待计算,DAC390R源阻及外部电阻计入，不能只按220R计算,模拟/转换器审计；具体滤波拓扑未冻结,候选,,,,,,,未匹配
C16,信号及专用电容,幻象隔直前RF旁路候选,220pF,±5%；双侧匹配,C0G/NP0,>=100V,,,0603/0805起选,条件候选,100pF/220pF最终按EMI与输入带宽选择；高压及脉冲环境复核；不是ESD替代,datasheet-audit/analog.md §1；额定为工程建议,拟装,,,,,,,未匹配
C17,信号及专用电容,ES9039 AVCC_DAC2 pin8及DVDD pin9各自去耦,1uF,±20%,钽；有极性,建议>=10V,,,壳号/尺寸待MPN，不按0805预锁,可先落图,原厂p11明确钽；DVDD为内部1.2V，AVCC_DAC2为3.3V；逐脚正极/ESR/可靠性核验；不能统改X7R,ES9039Q2M_ESS.pdf p11,拟装,,,,,,,未匹配
C18,信号及专用电容,PGA/前端幻象隔直候选,47uF,±20%,非极性/双极性铝电解；低漏,>=63V,,,通孔；直径/高度/脚距待料号,条件候选,串联阻抗与低频截止需按真实差分输入算；大电容增加故障浪涌；背靠背电解不可按原容量等效,datasheet-audit/analog.md §1,拟装,,,,,,,未匹配
C19,信号及专用电容,48V输出储能候选,47uF,±20%,铝电解；有极性；105°C,建议100V；63V须核最大轨压/瞬态,,,通孔/贴片外形待定,待计算,最终可能47-220uF，取决于拓扑/负载；核ESR/纹波额定/寿命，不能据此批准XL路线,datasheet-audit/power.md §9,拟装,,,,,,,未匹配
C20,信号及专用电容,48V高频旁路候选,100nF,±10%,X7R,>=100V,,,0805起选,条件候选,按实际电压/纹波/寄生和偏置核对；与C01低压去耦分为不同Spec_ID,工程建议,拟装,,,,,,,未匹配
C21,信号及专用电容,GM/LT SET低噪滤波,4.7uF,±10%建议,低漏电X7R候选,>=10V,,,0805/1206起选,条件候选,核Ceff和漏电/压电效应；启动时间依电容；33k时100nA额外漏电已造成约3.3mV偏移,datasheet-audit/power.md §2/4,拟装,,,,,,,未匹配
C22,信号及专用电容,ES9822 VREF_L/R各自去耦,4.7uF,±10%建议,按标准参考图选陶瓷；特定稳压方案另核,>=16V,,,0805/1206起选,条件候选,p129标准参考标称；不能外灌VREF；特殊ES9311参考会改变网络和C配置,datasheet-audit/converters.md §7,拟装,,,,,,,未匹配
L01,磁性器件,SY8089 0.9V Buck候选,2.2uH,±20%或更好,屏蔽功率电感,,,,约4x4mm起筛；焊盘/高度未定,条件候选,"DCR<50mOhm；先筛Isat>=3A/Irms>=2A但不是保证最终足够；核L(I,T)、Fmin、最差负载/启动/故障峰值",datasheet-audit/power.md §7；额定初筛为工程建议,拟装,,,,,,,未匹配
L02,磁性器件,数字Buck前级候选,2.2uH,±20%或更好,屏蔽功率电感,,,,约4x4mm起筛；未定,待计算,同L01需计算；不能因同2.2uH就默认相同电流/损耗，前级电压尚待重定,datasheet-audit/power.md §7,拟装,,,,,,,未匹配
L03,磁性器件,48V Boost储能旧候选,47uH,±20%或更好,屏蔽功率电感,,,,焊盘/高度待定，不用CD75名称代替规格,待计算,Ipeak/Irms/DCR全待电源拓扑和故障预算；旧2A未证明，不能以负载14mA选14mA电感,datasheet-audit/power.md §9,拟装,,,,,,,未匹配
FB01,磁性器件,XU316 PLL电源滤波,600R@100MHz,随原厂阻抗容差,铁氧体磁珠,,,,0603起筛,条件候选,DCR<1Ohm为原厂示例；额定电流>=100mA作为初筛，仍核实际PLL电流/偏置阻抗和0.9V压降预算；配局部1uF,XU316-1024-QF60A.pdf p27,拟装,,,,,,,未匹配
FB02,磁性器件,ADC/DAC其他电源分支滤波候选,600R@100MHz,随具体料号,铁氧体磁珠,,,,0603/0805起筛,待计算,先筛DCR<=0.1Ohm/额定>=0.5A作为工程候选，按负载/允许压降/偏置曲线调整；不是每轨都必须串磁珠,项目工程初筛建议，非原厂通用要求,拟装,,,,,,,未匹配
CMC01,磁性器件,USB2 HS共模扼流预留,90R@100MHz候选,随具体料号,双线共模扼流圈,,,,4焊盘；外形/脚序待料号,条件候选,核USB480Mbps差模插损/寄生/ESD配合；默认0R双旁路且与CMC互斥装配；布局前先定4脚脚序,USB草案EMI选项，非已验证参数,CMC默认DNP；旁路拟装,,,,,,,未匹配
Y01,晶体与时钟,XU316无源晶体,24MHz,手册±500ppm；工程建议初始±30-50ppm,无源基频晶体,,,,3225起选；具体脚型待定,条件候选,CL/ESR/驱动功率和总频差待精确型号；外接负载电容按CL及寄生计算，不能先拍18pF,datasheet-audit/digital-protection.md §1,拟装,,,,,,,未匹配
Y02,晶体与时钟,CH334U无源晶体,12MHz,总频差按USB/原厂要求,无源基频晶体,,,,3225起选；未定,条件候选,芯片内置负载电容，不默认再并18/22pF；实际CL/ESR待料号核验,datasheet-audit/usb-bridges.md §2,拟装,,,,,,,未匹配
Y03,晶体与时钟,ES9039有源MCLK,TBD,ppm/抖动待系统预算,有源振荡器，不是无源晶体,,,,待料号,待计算,192k异步至少约24.96MHz且最高50MHz；供电/逻辑幅值/引脚与模式均需先定，不能延迟至PCB布线后,datasheet-audit/converters.md §6,拟装,,,,,,,未匹配
